ПРАЙС-ЛИСТ;;;;;
Модель;Тип товара;ОЕ;TERMAL;Цена;Наличие
5302391J AUDI A8 A+/- 3,7-4,2 98-03 ;Радиатор охлаждения;4D0121251F;5302391J;4 140,00;+
5302391J AUDI A8 A+/- 3,7-4,2 98-03 ;Радиатор охлаждения;4D0121251R;5302391J;4 140,00;+
530300P Audi A4 2.4 09/01-;Радиатор охлаждения;8E0.121.251 P;530300P;3 190,00;+
530304P Audi A4 III/Pas 6 M+/- 10/00-;Радиатор охлаждения;8E0121251;530304P                  ;2 250,00;+
530304P Audi A4 III/Pas 6 M+/- 10/00-;Радиатор охлаждения;8E0121251A;530304P                  ;2 250,00;+
530305A Audi A4 III/Pas 6 A+/ 1.8-10/00-;Радиатор охлаждения;8E0.121.251 AQ;530305A                  ;2 700,00;+
530305A Audi A4 III/Pas 6 A+/ 1.8-10/00-;Радиатор охлаждения;8E0.121.251 L;530305A                  ;2 700,00;+
530305A Audi A4 III/Pas 6 A+/ 1.8-10/00-;Радиатор охлаждения;8E0121251B;530305A                  ;2 700,00;+
530307P Audi A4/6  A 3.0-3.2 10/00- OE 8E0121251M;Радиатор охлаждения;8E0121251 M;530307P                ;2 580,00;+
530307P Audi A4/6  A 3.0-3.2 10/00- OE 8E0121251M;Радиатор охлаждения;8E0121251 S;530307P                ;2 580,00;+
530307P Audi A4/6  A 3.0-3.2 10/00- OE 8E0121251M;Радиатор охлаждения;8E0121251AR;530307P                ;2 580,00;+
530308P Audi A6/S6/A4/S4/Pas 5 97- 1.8-1.9d M+/-;Радиатор охлаждения;8D0.121.251 AT;530308P                  ;1 940,00;+
530308P Audi A6/S6/A4/S4/Pas 5 97- 1.8-1.9d M+/-;Радиатор охлаждения;8D0.121.251 BA;530308P                  ;1 940,00;+
530317J AUDI A 4 / A5 / Q5  (07-) 3.0-3.0 TDI A +/-;Радиатор охлаждения;4G0121251B;530317J;5 710,00;+
530317J AUDI A 4 / A5 / Q5  (07-) 3.0-3.0 TDI A +/-;Радиатор охлаждения;8K0.121.251 H;530317J;5 710,00;+
530323J Audi A4 / A5 / Q5 1.8-2.0-2.0 TDi M +/- 07-  ;Радиатор охлаждения;8K0.121.251 L;530323J;4 090,00;+
530323J Audi A4 / A5 / Q5 1.8-2.0-2.0 TDi M +/- 07-  ;Радиатор охлаждения;8K0.121.251 R;530323J;4 090,00;+
530423J Audi A6II 2.5 TD A+/-  OE 4B0121251 A;Радиатор охлаждения;4B0121251A;530423J                  ;3 500,00;+
530423J Audi A6II 2.5 TD A+/-  OE 4B0121251 A;Радиатор охлаждения;4B0121251AH;530423J                  ;3 500,00;+
530423J Audi A6II 2.5 TD A+/-  OE 4B0121251 A;Радиатор охлаждения;4B0121251AK;530423J                  ;3 500,00;+
530423J Audi A6II 2.5 TD A+/-  OE 4B0121251 A;Радиатор охлаждения;4B0121251N;530423J                  ;3 500,00;+
530423J Audi A6II 2.5 TD A+/-  OE 4B0121251 A;Радиатор охлаждения;4B0121251S;530423J                  ;3 500,00;+
530427T Audi A8 M/A+/- 3,7-4,2 02- OE 4E0121251E;Радиатор охлаждения;4E0121251E;530427T                  ;7 340,00;+
530427T Audi A8 M/A+/- 3,7-4,2 02- OE 4E0121251E;Радиатор охлаждения;4E0121251G;530427T                  ;7 340,00;+
530428J Audi A8II M/A+/- 2.8-3.0d 02 OE 4E0121251;Радиатор охлаждения;4E0121251;530428J                  ;4 730,00;+
530436A Audi 80 3/4  ;Радиатор охлаждения;443121253E;530436A                 ;1 310,00;+
530436A Audi 80 3/4  ;Радиатор охлаждения;811121253A;530436A                 ;1 310,00;+
530436A Audi 80 3/4  ;Радиатор охлаждения;811121253E;530436A                 ;1 310,00;+
530436A Audi 80 3/4  ;Радиатор охлаждения;893121251A;530436A                 ;1 310,00;+
530436A Audi 80 3/4  ;Радиатор охлаждения;893121253A;530436A                 ;1 310,00;+
530441P Audi 80 B IV 2.0-2.2 A/M;Радиатор охлаждения;855121251A;530441P                  ;1 720,00;+
530441P Audi 80 B IV 2.0-2.2 A/M;Радиатор охлаждения;855121251D;530441P                  ;1 720,00;+
530441P Audi 80 B IV 2.0-2.2 A/M;Радиатор охлаждения;855121251E;530441P                  ;1 720,00;+
530441P Audi 80 B IV 2.0-2.2 A/M;Радиатор охлаждения;855121251F;530441P                  ;1 720,00;+
530441P Audi 80 B IV 2.0-2.2 A/M;Радиатор охлаждения;855121251K;530441P                  ;1 720,00;+
530455S Audi 100 II,200 II 1.6-2.2 M - OE 43112125;Радиатор охлаждения;431121251A;530455S                  ;1 550,00;+
530455S Audi 100 II,200 II 1.6-2.2 M - OE 43112125;Радиатор охлаждения;431121251C;530455S                  ;1 550,00;+
530455S Audi 100 II,200 II 1.6-2.2 M - OE 43112125;Радиатор охлаждения;431121251K;530455S                  ;1 550,00;+
530455S Audi 100 II,200 II 1.6-2.2 M - OE 43112125;Радиатор охлаждения;431121251L;530455S                  ;1 550,00;+
530455S Audi 100 II,200 II 1.6-2.2 M - OE 43112125;Радиатор охлаждения;431121251M;530455S                  ;1 550,00;+
