№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
150;Тормозной диск левый передний;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0878;;2006;2008;1;1000;;
151;Суппорт передний левый;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0879;;2006;2008;1;3000;;
152;Части задней подвески;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0880;;2006;2008;1;1000;;
153;Ступица задн лев,прав;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0877;;2006;2008;1;2000;;
154;Диск тормозной  зад лев,прав;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0876;;2006;2008;1;1500;;
155;Стекло переднее правое;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0826;;2006;2008;1;3000;;
156;Рычаг  задний со ступицей лев, прав;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0875;;2006;2008;1;3000;;
157;Лонжерон передний левый и правый;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0770;;2006;2008;1;7000;;
158;Диски тормозные;Toyota Mark 2;Б/у;Состояние/Износ - хор.. МаркХ;W0669;;2001;2004;1;1000;;
159;Трубка кондиционера;Mitsubisi Minica;Б/у;Состояние/Износ - хор.. Миника;W0706;;1999;2010;1;1000;;
160;Бампер задний;Kia Ceed;Б/у;Состояние/Износ - хор.. Киа Сид 3Д;W0982;;2007;3000;1;5000;;
161;Бампер передний;Kia Ceed;Б/у;Состояние/Износ - хор.. Киа Сид 3Д;W0986;;2007;3000;1;5000;;
162;Крыло переднее левое;Kia Ceed;Б/у;Состояние/Износ - 10%. Киа Сид;W1015;;2007;3000;1;2500;;
163;Бампер передний;Kia Ceed;Б/у;Состояние/Износ - хор.. Киа Сид;W0981;;2007;3000;1;4500;;
164;Дверь задняя правая;Kia Ceed;Б/у;Состояние/Износ - 10%. Киа Сид;W0967;;2007;3000;1;6000;;
165;Крыло переднее правое;Kia Ceed;Б/у;Состояние/Износ - 10%. Киа Сид;W0976;;2007;3000;1;2000;;
